Subscription ID,Subscription Type,Duration (Days)
5864,daily,55
5867,one-off,0
16009,monthly,1492
5861,daily,37
5860,monthly,1034
5863,yearly,11688
5862,daily,29
56842,one-off,0
56843,daily,44
56840,yearly,5844
56841,one-off,0
17359,yearly,13880
52348,yearly,4017
56845,yearly,1095
52345,monthly,2434
52344,one-off,0
56848,monthly,2010
52346,monthly,304
17350,monthly,731
17353,yearly,2557
52342,yearly,4383
5720,yearly,5114
54143,daily,27
19588,daily,13
19584,monthly,1461
19585,daily,5
19580,one-off,0
19581,monthly,184
20869,monthly,609
20868,one-off,0
20865,daily,45
52690,monthly,2131
52696,monthly,669
52695,monthly,822
20862,daily,23
16114,yearly,8400
51926,daily,54
49158,daily,3
49159,yearly,15706
51927,one-off,0
49150,monthly,608
16110,daily,15
49153,daily,16
49154,yearly,8766
49156,daily,37
49157,yearly,10227
45638,daily,7
5931,one-off,0
48203,monthly,2130
45630,yearly,1461
48201,monthly,761
45635,one-off,0
48206,one-off,0
48205,daily,4
45636,one-off,0
9193,daily,53
7947,yearly,13149
7940,yearly,4748
9194,monthly,1096
7942,yearly,12054
7943,daily,36
9199,daily,5
9198,monthly,1523
42173,one-off,0
16917,one-off,0
16910,daily,5
16911,one-off,0
42179,one-off,0
42178,daily,30
12208,daily,42
12206,monthly,1157
12200,yearly,3652
29358,monthly,1186
10512,daily,25
10513,yearly,2922
10510,daily,22
29353,monthly,304
10516,daily,47
10517,monthly,1310
53564,yearly,10592
29357,one-off,0
8867,daily,44
54693,monthly,670
54692,monthly,89
8862,monthly,2039
21409,monthly,1461
54697,daily,4
8861,monthly,2039
21404,one-off,0
21405,monthly,821
21407,yearly,10227
21401,yearly,4018
8868,yearly,13514
8869,one-off,0
26834,monthly,92
26835,daily,40
26837,daily,35
26830,one-off,0
26831,one-off,0
26832,monthly,1888
26833,daily,29
26838,daily,27
37435,yearly,10957
54034,daily,21
54037,daily,51
54031,monthly,1706
24578,yearly,7305
54039,monthly,668
54038,monthly,1766
28408,daily,42
28402,monthly,365
28400,one-off,0
28407,yearly,8766
28405,monthly,1979
28404,yearly,7670
37433,monthly,2283
34327,monthly,1795
34324,yearly,3287
34323,one-off,0
34321,daily,20
34320,daily,23
35054,monthly,1705
35055,yearly,10227
35052,monthly,548
35053,daily,15
35050,one-off,0
55128,yearly,2922
55120,monthly,2011
55121,one-off,0
55123,daily,4
23719,daily,42
23716,monthly,427
23717,yearly,2192
23714,monthly,1645
23715,one-off,0
23712,daily,5
23713,one-off,0
52627,yearly,3287
27007,yearly,11323
32589,monthly,1065
55788,daily,49
55784,monthly,944
32580,monthly,1400
32583,daily,30
32582,yearly,9131
32585,yearly,9862
32584,yearly,3287
32587,yearly,10592
32586,yearly,1096
9942,yearly,10957
35585,monthly,2404
56479,daily,21
35587,yearly,11688
9947,monthly,1736
35582,yearly,2191
35583,yearly,4748
56473,yearly,5844
56471,monthly,2404
56477,daily,38
56476,daily,23
32057,monthly,1765
32056,monthly,396
57788,monthly,2192
32054,yearly,14245
32053,one-off,0
32052,one-off,0
57783,yearly,6939
57780,one-off,0
57781,yearly,12418
32059,monthly,670
32058,yearly,9862
55878,monthly,670
55879,yearly,4383
52789,yearly,5479
55871,monthly,2223
55875,one-off,0
56780,yearly,8401
56783,monthly,607
56785,monthly,184
56784,yearly,7305
56786,one-off,0
56789,one-off,0
52785,one-off,0
25716,one-off,0
25712,monthly,943
25713,yearly,8401
25718,daily,39
21875,monthly,2101
17796,one-off,0
21871,monthly,2163
21870,one-off,0
52781,daily,33
52783,yearly,3653
26065,monthly,2679
26064,daily,17
26063,monthly,700
26061,monthly,1064
26060,monthly,2283
26069,daily,38
53953,yearly,4383
57431,monthly,1006
53951,one-off,0
57433,daily,27
53957,yearly,9131
57435,yearly,6940
57436,daily,42
57437,one-off,0
36776,monthly,547
36777,daily,47
36774,monthly,2160
40963,yearly,3652
18568,daily,53
33729,monthly,730
18563,daily,41
33727,monthly,2099
33724,monthly,975
14663,one-off,0
14664,one-off,0
14665,monthly,2465
18565,yearly,9861
14667,yearly,5478
38609,monthly,336
38600,monthly,2192
38605,monthly,2160
38606,monthly,2314
38607,daily,54
40969,monthly,2007
27828,daily,52
14833,yearly,4748
27825,monthly,488
27826,yearly,3287
27820,monthly,731
27821,yearly,4749
27822,one-off,0
27823,yearly,1826
46235,daily,52
46237,monthly,181
15138,monthly,2344
15133,yearly,7670
15131,one-off,0
31765,yearly,7305
39559,yearly,1826
39558,monthly,457
31763,yearly,14975
39553,yearly,13149
31768,yearly,6575
31769,one-off,0
39555,daily,42
39554,monthly,426
33894,monthly,700
33897,daily,35
33898,monthly,2526
33899,one-off,0
34046,daily,27
34044,monthly,2557
34042,one-off,0
34041,yearly,5113
34049,daily,20
31492,yearly,13880
31493,monthly,2070
31491,one-off,0
31497,monthly,486
31494,monthly,1005
47250,monthly,943
47253,one-off,0
47252,yearly,17532
47255,monthly,365
47254,yearly,1096
47257,daily,10
47256,yearly,2557
47259,monthly,1553
4760,daily,40
4762,daily,53
4764,one-off,0
4767,yearly,2192
4766,daily,39
4768,monthly,1704
19748,daily,37
19740,monthly,973
19742,monthly,2585
19743,daily,4
19744,monthly,365
19746,monthly,578
16184,monthly,122
42373,one-off,0
42372,monthly,1400
42378,yearly,12784
10354,one-off,0
10355,daily,35
10356,one-off,0
10350,monthly,1522
10352,daily,7
10358,monthly,2100
46306,daily,39
6253,yearly,8766
6252,monthly,2710
6251,yearly,4018
12319,monthly,854
6256,daily,4
6254,yearly,15341
42995,daily,10
42996,monthly,92
42991,yearly,1826
42990,monthly,1673
42993,monthly,1795
42999,monthly,1308
12839,daily,13
45340,daily,15
45343,daily,48
45346,monthly,2131
45349,daily,16
45348,monthly,1431
56369,yearly,9132
56365,monthly,2252
56364,monthly,546
5245,monthly,120
5247,monthly,1765
5246,yearly,2192
5241,one-off,0
5243,yearly,6575
5242,daily,5
40268,monthly,913
40263,yearly,4383
40265,daily,23
40267,monthly,397
40266,monthly,2100
14309,monthly,942
53436,daily,31
45964,monthly,1734
45962,monthly,2313
17966,monthly,883
17967,yearly,1461
17965,one-off,0
17962,monthly,276
17963,yearly,13149
17960,yearly,1826
17961,monthly,883
57014,monthly,1461
9451,monthly,2342
12480,yearly,2192
48874,yearly,6940
48876,daily,12
48877,daily,50
48870,yearly,11688
48871,daily,16
48872,yearly,11688
48873,monthly,1033
48878,yearly,4749
12468,monthly,730
12469,yearly,8401
12464,monthly,1339
12466,monthly,90
12461,yearly,1096
7777,daily,42
7775,one-off,0
50847,monthly,761
7773,yearly,1461
7772,yearly,8401
7771,daily,33
7770,daily,51
50849,monthly,457
7778,one-off,0
12484,monthly,1034
19262,one-off,0
19260,daily,15
19267,one-off,0
52817,monthly,1887
19264,monthly,1431
19268,monthly,1673
42623,monthly,1126
46083,one-off,0
46082,monthly,2708
46080,monthly,365
46087,monthly,2373
46086,yearly,4749
46085,yearly,6939
49055,yearly,3288
49054,one-off,0
46088,yearly,8035
49053,monthly,2222
57232,yearly,2192
43108,yearly,8035
57230,monthly,2435
11475,yearly,6940
11472,monthly,1948
57237,yearly,8035
57234,monthly,2100
57235,daily,33
43100,yearly,2922
57238,daily,7
43107,monthly,1492
11479,one-off,0
46551,yearly,1461
46550,monthly,702
46553,one-off,0
46552,yearly,6210
46557,yearly,12053
46556,daily,48
52558,daily,5
17149,monthly,2619
17144,monthly,1310
52556,daily,32
52557,monthly,1919
17140,one-off,0
52552,one-off,0
17143,yearly,6940
9549,one-off,0
9546,one-off,0
9544,yearly,1461
9545,monthly,2738
9543,daily,32
9540,one-off,0
22944,monthly,2526
21368,one-off,0
27594,monthly,365
27596,monthly,2739
27597,monthly,761
27591,yearly,8035
21361,monthly,2192
48018,daily,6
48019,daily,55
48011,one-off,0
48016,yearly,2191
48014,monthly,1064
49232,one-off,0
29259,yearly,2557
29258,monthly,489
57904,yearly,1826
22948,one-off,0
57906,daily,32
57907,monthly,2527
57900,one-off,0
57903,monthly,488
27799,yearly,4383
49236,monthly,610
34280,monthly,2648
34281,monthly,760
34282,monthly,2557
34283,daily,16
34284,one-off,0
34285,yearly,12419
34286,monthly,2679
34287,one-off,0
34289,daily,25
37888,daily,12
37887,one-off,0
37885,daily,22
37884,monthly,212
37883,monthly,2495
37882,yearly,6574
37881,monthly,2465
26646,yearly,10958
26644,yearly,1826
26643,monthly,397
26641,yearly,11323
26640,one-off,0
26649,monthly,366
50309,daily,34
50303,yearly,9861
50302,yearly,1826
50301,yearly,8035
50307,monthly,2312
23038,one-off,0
51550,monthly,1280
23034,daily,18
23033,monthly,1491
23032,monthly,1857
23031,monthly,2677
22348,monthly,303
22347,monthly,2130
22342,daily,54
22340,monthly,273
28619,monthly,2373
28610,yearly,4749
28611,yearly,2191
35628,daily,32
35620,yearly,13880
35623,monthly,1308
35622,yearly,7305
23693,monthly,518
32935,monthly,489
32936,monthly,1765
23697,daily,48
32931,yearly,4748
23695,monthly,184
23694,yearly,8766
23698,one-off,0
56620,one-off,0
56621,monthly,2345
56626,yearly,8766
56624,monthly,702
25698,yearly,6939
25690,one-off,0
25693,one-off,0
25695,daily,54
25697,monthly,1551
25696,monthly,2160
51160,monthly,2434
51161,daily,39
51162,monthly,1948
51164,daily,3
51169,yearly,11323
27279,monthly,457
27278,daily,51
27270,monthly,641
27273,one-off,0
27272,monthly,2741
27275,one-off,0
27277,yearly,5113
25526,daily,52
25525,yearly,2922
25524,monthly,1400
25523,one-off,0
25522,daily,37
25529,monthly,183
25528,one-off,0
57575,yearly,6209
39840,yearly,3287
57577,daily,45
57576,monthly,1705
39845,one-off,0
39847,yearly,14976
57572,one-off,0
39849,one-off,0
39848,monthly,1431
57579,yearly,1461
57578,one-off,0
13531,daily,9
13530,one-off,0
31445,daily,54
13793,monthly,762
37414,yearly,12783
37416,monthly,1400
37410,one-off,0
37412,one-off,0
37413,monthly,1430
37418,yearly,7670
37419,monthly,2071
13794,daily,54
3451,one-off,0
3455,yearly,12053
3459,one-off,0
41330,monthly,1218
41331,yearly,4748
41333,yearly,17532
41334,daily,28
40069,monthly,730
40060,one-off,0
40067,monthly,1947
14149,yearly,6940
14145,daily,46
14146,yearly,3653
14141,daily,55
14143,monthly,183
15818,yearly,9497
15819,monthly,1066
15812,one-off,0
15813,yearly,5844
15814,daily,12
15817,yearly,1096
18673,monthly,761
18672,one-off,0
18671,daily,55
33919,yearly,1461
14498,one-off,0
18332,one-off,0
18333,yearly,13514
33913,yearly,2192
33912,yearly,3652
14497,monthly,276
33914,daily,33
33917,monthly,1400
33916,monthly,610
38039,monthly,1795
38038,daily,4
38033,daily,23
38030,monthly,2376
38036,yearly,10592
38035,daily,31
54738,daily,41
47592,monthly,1979
54739,monthly,1155
47594,yearly,1096
19137,monthly,243
32855,daily,19
47042,daily,29
55079,one-off,0
47045,monthly,608
47046,monthly,2008
47047,daily,7
47048,yearly,1461
32853,monthly,2314
19132,daily,36
6479,daily,35
6478,yearly,7305
6473,monthly,1734
41499,monthly,1034
15361,monthly,1278
15366,yearly,10227
6476,monthly,1127
15364,yearly,1826
6474,monthly,2588
31517,yearly,10227
31514,yearly,10957
31511,yearly,11688
31519,one-off,0
31518,yearly,8400
19468,monthly,1249
19464,monthly,761
19466,one-off,0
19461,daily,29
19463,yearly,5844
39072,monthly,212
4044,monthly,2740
4040,monthly,2222
4041,daily,19
4048,daily,52
43748,daily,3
43743,daily,3
43742,monthly,1034
43740,one-off,0
43746,monthly,669
43744,yearly,4383
46719,monthly,1826
46713,one-off,0
46712,daily,54
46711,daily,34
46717,yearly,1461
46716,monthly,1095
47117,monthly,1492
17434,one-off,0
17435,monthly,1219
17436,monthly,1919
17437,daily,3
17430,monthly,1887
17431,one-off,0
17432,daily,12
17433,daily,12
17438,daily,22
38859,yearly,6939
38858,yearly,14245
13327,monthly,2099
13320,monthly,1734
13322,daily,38
38852,daily,16
48654,one-off,0
48656,monthly,1279
48657,one-off,0
48652,monthly,1156
48653,yearly,8766
48658,monthly,2404
41723,monthly,1642
44719,yearly,7671
44718,daily,44
41072,one-off,0
41070,yearly,11323
41077,yearly,2191
13480,daily,50
41075,daily,22
41079,one-off,0
41078,yearly,14976
54242,daily,13
14801,monthly,2341
11870,daily,10
54241,monthly,153
11876,one-off,0
11874,daily,45
20086,one-off,0
14808,yearly,16071
14809,monthly,1310
11878,one-off,0
20083,one-off,0
7837,one-off,0
29981,daily,29
29980,yearly,8766
29983,daily,16
29986,monthly,914
28054,monthly,762
28055,yearly,1096
28057,daily,30
28051,daily,31
28052,yearly,4017
28053,yearly,8036
28058,yearly,8036
28059,yearly,1461
44659,yearly,3287
42561,daily,21
30751,monthly,92
7215,yearly,5844
7216,monthly,670
51362,yearly,3287
51364,daily,18
51365,yearly,5113
51369,yearly,14610
16560,monthly,791
25321,daily,30
25323,daily,10
25325,yearly,6939
25327,daily,31
25326,one-off,0
25328,yearly,14610
54418,one-off,0
15406,monthly,1583
15405,monthly,2406
6818,monthly,274
8128,monthly,153
51982,one-off,0
51980,daily,34
51989,daily,39
56352,yearly,4383
10917,monthly,2344
10915,daily,51
10912,monthly,2405
10913,monthly,2283
56354,yearly,1096
10911,one-off,0
56358,daily,33
56359,one-off,0
6813,yearly,7305
57008,monthly,1919
57005,daily,44
6815,monthly,243
57007,monthly,1796
57006,monthly,1187
57001,yearly,9497
57000,monthly,1492
57002,yearly,1096
16429,daily,22
16424,one-off,0
16425,monthly,365
16426,yearly,8035
16427,yearly,2922
16420,yearly,7305
52189,daily,5
52183,daily,5
52181,daily,6
52180,yearly,9862
52184,one-off,0
53278,yearly,13514
53279,yearly,10593
53276,one-off,0
21318,monthly,1005
21319,yearly,5479
49244,yearly,1096
49245,yearly,4749
21316,monthly,1979
21310,one-off,0
49241,daily,25
56976,yearly,8035
56977,one-off,0
22959,yearly,10592
22958,yearly,4018
56972,yearly,3653
56973,yearly,6574
22953,yearly,5113
22951,one-off,0
22956,yearly,4748
56978,daily,22
22954,monthly,1369
53153,yearly,6209
57697,monthly,488
37307,yearly,8766
37301,one-off,0
31073,yearly,3653
31074,daily,6
37303,yearly,8401
31075,yearly,10227
50297,one-off,0
21079,one-off,0
54727,one-off,0
54721,one-off,0
54720,monthly,2710
54723,yearly,3652
19860,daily,40
21077,monthly,489
27419,yearly,3287
27418,monthly,2435
27410,daily,5
27413,monthly,2436
27415,monthly,1035
27414,daily,30
27417,one-off,0
19864,yearly,8766
19867,yearly,2922
21072,monthly,2343
29048,monthly,700
29045,yearly,12053
29046,daily,30
29042,daily,34
29043,yearly,4748
30912,yearly,12053
30914,yearly,1826
30917,monthly,915
30918,yearly,9862
30919,monthly,182
31068,monthly,1612
31065,one-off,0
31060,monthly,2068
3959,monthly,669
3958,daily,51
55094,monthly,638
3952,one-off,0
3951,monthly,245
3957,daily,3
3956,daily,21
55092,monthly,608
55093,yearly,7305
34749,monthly,1948
34748,monthly,2739
50124,one-off,0
34741,yearly,4748
34740,yearly,10957
34742,monthly,2038
35294,yearly,13880
35296,one-off,0
35290,yearly,9862
35292,yearly,8401
35298,one-off,0
24443,monthly,791
24444,daily,50
50112,daily,16
50113,monthly,2191
24449,yearly,5479
24448,one-off,0
50116,daily,20
50115,daily,32
55548,daily,7
55549,yearly,3287
55542,daily,47
55543,monthly,2040
55540,daily,54
55541,daily,39
55547,one-off,0
55544,monthly,2708
55545,monthly,670
22138,daily,55
22131,daily,36
22130,one-off,0
22133,one-off,0
22132,one-off,0
51647,monthly,1188
32744,one-off,0
51641,daily,22
32741,daily,53
51642,monthly,1431
51648,daily,55
32749,monthly,2192
32748,monthly,426
56010,yearly,11688
56018,yearly,9496
4453,yearly,10958
4455,one-off,0
36248,yearly,4383
36247,monthly,426
36244,yearly,2557
36245,monthly,120
36242,daily,4
36240,yearly,8766
36241,daily,20
41279,daily,5
41277,yearly,10227
41276,one-off,0
41272,daily,20
42899,yearly,12054
42893,daily,32
42895,monthly,700
42897,monthly,274
39652,yearly,1827
39654,daily,18
39658,yearly,11323
18818,monthly,2130
33038,one-off,0
33039,yearly,6574
37590,monthly,1645
33035,one-off,0
18815,one-off,0
37596,monthly,1673
7129,yearly,6940
7125,yearly,12418
7122,monthly,700
7123,yearly,5113
7120,yearly,6574
7121,yearly,12418
37626,yearly,5114
37625,monthly,2679
37624,yearly,2922
37623,yearly,10592
37621,daily,51
37620,daily,33
44998,daily,16
40632,monthly,1857
44992,daily,46
40630,monthly,305
44990,one-off,0
44995,yearly,6940
40635,monthly,2038
47941,one-off,0
47940,one-off,0
47943,one-off,0
47942,daily,51
47945,monthly,2741
14759,yearly,8400
47947,monthly,488
47946,yearly,3288
14754,one-off,0
14755,daily,9
14757,monthly,822
14751,daily,22
14752,one-off,0
14753,daily,39
13906,one-off,0
13900,yearly,12053
18106,one-off,0
18101,monthly,1187
18103,one-off,0
18109,yearly,1096
18108,daily,8
5576,one-off,0
5575,daily,38
5573,one-off,0
5571,monthly,883
5570,yearly,6574
30076,one-off,0
38268,daily,12
38269,yearly,8401
30073,one-off,0
30072,daily,55
30070,monthly,1735
38262,one-off,0
38263,daily,14
38260,yearly,2192
38266,yearly,12784
38267,one-off,0
30079,daily,45
30078,monthly,703
31305,monthly,669
31303,monthly,2496
31300,yearly,10958
11115,yearly,6940
31308,yearly,11323
47365,daily,14
47364,one-off,0
47360,monthly,2343
47363,daily,45
11227,daily,41
11226,monthly,641
11225,one-off,0
11116,monthly,1188
11221,yearly,11323
19050,monthly,2710
19051,yearly,1826
19052,yearly,6940
19054,one-off,0
19055,monthly,487
39132,daily,5
39138,monthly,1187
42463,monthly,1219
42465,daily,26
16628,yearly,11323
42466,yearly,9496
42468,yearly,1826
16625,monthly,1158
16623,daily,49
16621,daily,3
12758,monthly,153
12757,one-off,0
12755,monthly,1400
12752,yearly,12419
12750,monthly,488
12751,monthly,91
16995,yearly,10957
16990,monthly,854
16991,monthly,426
16992,monthly,1034
16993,monthly,2465
9111,yearly,7305
9110,daily,6
9113,one-off,0
9115,daily,45
9114,yearly,3287
9116,yearly,3287
12284,monthly,1035
12280,monthly,426
12281,one-off,0
12282,one-off,0
21156,one-off,0
21154,monthly,243
21155,yearly,10227
12288,monthly,821
12289,yearly,3652
21150,yearly,7305
21151,daily,48
21484,yearly,5479
21486,one-off,0
21487,monthly,2069
42281,monthly,1675
42280,yearly,5844
49733,yearly,5478
49738,daily,12
49739,one-off,0
46908,daily,19
54313,one-off,0
46903,daily,13
46901,yearly,6209
46906,one-off,0
46904,daily,34
14953,yearly,14610
55577,daily,28
14950,monthly,1522
14951,yearly,4749
53074,daily,6
10665,monthly,1127
10667,monthly,273
10660,monthly,549
53071,yearly,15341
13481,monthly,1034
51652,daily,12
13482,yearly,4748
53078,monthly,1461
13487,monthly,1979
13486,monthly,972
32756,monthly,2588
32757,monthly,2130
13157,one-off,0
20688,monthly,1613
13155,one-off,0
13153,yearly,12419
20681,one-off,0
20682,monthly,2528
20685,monthly,92
20684,monthly,2467
20687,yearly,2192
20686,monthly,851
10592,one-off,0
10596,one-off,0
10595,monthly,306
10599,monthly,1187
20355,yearly,8766
20354,one-off,0
20353,monthly,913
20358,daily,29
44501,yearly,5844
44502,one-off,0
44505,monthly,1978
44506,daily,49
44509,daily,31
29536,one-off,0
29531,daily,37
29532,monthly,184
29533,monthly,976
29538,yearly,4748
29539,yearly,4383
34845,monthly,1795
30543,monthly,1522
50755,monthly,214
50756,daily,20
50751,monthly,1704
50753,one-off,0
50758,yearly,13149
8376,yearly,3287
8377,monthly,1948
8374,yearly,4018
8375,monthly,428
19904,one-off,0
8373,yearly,10592
8370,yearly,8035
8378,daily,3
22445,daily,54
22447,one-off,0
22446,monthly,730
22449,monthly,944
22448,yearly,11688
26351,one-off,0
26353,daily,30
26352,yearly,8035
26355,yearly,2922
26359,yearly,11322
51087,yearly,10593
51086,monthly,2314
32503,yearly,11688
32502,monthly,2221
55700,yearly,7670
55701,monthly,1035
32507,yearly,10227
51080,yearly,13149
32509,one-off,0
32508,yearly,14245
55708,daily,12
51089,one-off,0
51088,yearly,8036
3622,monthly,2406
3624,daily,52
3626,daily,20
57703,one-off,0
57701,daily,10
57706,daily,45
57707,monthly,396
57704,daily,51
15796,monthly,366
57708,monthly,2679
6884,one-off,0
52068,monthly,91
52069,one-off,0
52064,monthly,457
52066,yearly,5478
52062,monthly,822
15799,one-off,0
24849,daily,52
24847,daily,6
24846,daily,47
24845,one-off,0
24844,monthly,91
24840,yearly,2557
9653,monthly,1673
36998,yearly,1096
9656,yearly,11688
9655,daily,4
36992,monthly,153
36990,yearly,4748
9659,yearly,10957
36997,yearly,4383
36994,daily,32
36995,monthly,304
37020,daily,54
37022,daily,27
37024,daily,50
37027,one-off,0
37026,monthly,2464
37029,yearly,2922
37028,yearly,4383
33484,daily,37
32840,monthly,2162
40874,monthly,730
29410,monthly,1127
44391,monthly,914
44392,daily,29
3369,daily,43
3366,monthly,669
3367,monthly,1127
3360,daily,47
30273,yearly,2191
30277,daily,16
30279,yearly,9131
30278,yearly,7671
4273,daily,15
4272,yearly,4383
4271,yearly,5844
4277,yearly,9131
4275,one-off,0
4278,daily,31
42605,one-off,0
46581,one-off,0
35319,one-off,0
14340,yearly,3287
35313,monthly,1553
23181,yearly,13514
23186,monthly,640
23189,monthly,1520
30894,monthly,519
30897,yearly,9861
